model,valid_f1,valid_auc,test_f1,test_auc,test_acc
LogReg,0.5418940609951846,0.9044387214883454,0.5315890236119974,0.9016757554630433,0.8376644918721663
SVM-RBF,0.5052054794520547,0.9202060193165159,0.5147962032384142,0.9164404430329552,0.9039035718235099
RandomForest,0.41688654353562005,0.9259445758246171,0.44041450777202074,0.9213464991660876,0.9044564856795311
KNN,0.3994760969220694,0.8866761760761599,0.3853820598006645,0.8715608069478099,0.8977109366360722
