model,cv_best_score,scoring,valid_f1,valid_auc,test_f1,test_auc,test_acc,best_params
RandomForest,0.591065232428769,f1,0.6038610038610038,0.9252327907232234,0.5928543384373773,0.9213835487853524,0.8853256662611965,"{""model__max_depth"": 20, ""model__max_features"": ""sqrt"", ""model__min_samples_leaf"": 3, ""model__min_samples_split"": 6, ""model__n_estimators"": 846}"
SVM-RBF,0.5563835078552973,f1,0.48660470202296335,0.9185394655094687,0.502495840266223,0.9147569935595213,0.900807254229791,"{""model__C"": 0.6672367170464207, ""model__gamma"": 0.13826232179369857}"
LogReg,0.5404783702654821,f1,0.5413726747915331,0.9044583732682757,0.5319693094629157,0.901747013836198,0.8381068229569834,"{""model__C"": 8.43101393208247}"
KNN,0.4217572321455522,f1,0.4301929625425653,0.8101343282027194,0.4361763022323984,0.8018894122131169,0.8910759703638174,"{""model__n_neighbors"": 4, ""model__p"": 2, ""model__weights"": ""distance""}"
